duvida;Poderia me dizer a resposta dessa pergunta:
Ola;Ola, Tudo bem
Bom Dia;Bom Dia, tudo bem
Boa Tarde;Boa Tarde, tudo bem
Boa Noite;Boa Noite, tudo bem
sim;Poderia repetir
Tudo bem;O que voce gostaria que eu lhe auciliasse?
Qual o seu nome;Meu nome e Robot
Qual a sua cor favorita;verde
Qual sua idade;eu nasci em 09/11/2017, ainda nao tenho 1 ano completo
qual o seu modelo;verÃ§ao 1.0
voce funciona em tablet;nao, ainda estou em desenvolvimento
nao;Entao nao poderei ajudar
voce foi feito em qual sistema;Fui feito em java
Em qual pais voce esta;Brasil
qual a sua versao;versao 1.0 Beta
tudo;Fico feliz, em que posso ajudar
Os chatbots vieram para substituir as pessoas;Esse é um assunto delicado. Ainda não há uma resposta definitiva para essa pergunta
Chatbots nas empresas: quais as possibilidades;Essa tecnologia tem o poder de encantar as pessoas
quem e Parmy Olson;é jornalista da revista Forbes, conhecida por seu trabalho sobre o movimento hacktivista Anônimo
o que e chatbot;Chatbot é um programa de computador que tenta simular um ser humano na conversação com as pessoas
meu Computador nao liga e nao emite beeps;Provavelmente voce esta com defeito no estabilizador ou nobreak, Tensão de alimentação incorreta, Defeito na fonte, Defeito no cabo de força, Defeito no botão Power, Pinos do painel frontal desconectados, Placa-mãe queimada ou com solda fria
